file,path,format,size_bytes,modified,status,rows,columns,unique_record_id,unique_post_id,unique_comment_id,null_record_id,null_post_id,null_comment_id,date_range,duplicate_estimate_pct,has_text_raw,has_text_clean,has_vehicle,vehicle_counts,community_count
data/output/by_vehicle/XPeng_G6/relevant_adas.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle\XPeng_G6\relevant_adas.csv,csv,1008,2026-09-22T13:00:43,ok,1,21,1.0,0.0,0.0,0.0,1.0,1.0,N/A,0.0,False,True,True,{'XPeng G6': 1},1.0
data/output/by_vehicle/XPeng_G6/relevant_adas.json,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle\XPeng_G6\relevant_adas.json,json,1208,2026-09-22T13:00:43,ok,1,21,1.0,0.0,0.0,0.0,1.0,1.0,N/A,0.0,False,True,True,{'XPeng G6': 1},1.0
data/output/by_vehicle/XPeng_G6/relevant_adas.xlsx,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle\XPeng_G6\relevant_adas.xlsx,xlsx,5528,2026-09-22T13:00:43,ok,1,21,1.0,0.0,0.0,0.0,1.0,1.0,N/A,0.0,False,True,True,{'XPeng G6': 1},1.0
data/output/by_vehicle/XPeng_G6/summary.json,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle\XPeng_G6\summary.json,json,175,2026-09-22T13:00:43,metadata_or_empty,0,0,,,,,,,,,,,,,
data/output/by_vehicle_v2/BYD_Sealion_7/analyzed.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\BYD_Sealion_7\analyzed.csv,csv,19044,2026-09-22T13:36:18,ok,19,38,19.0,16.0,19.0,0.0,0.0,0.0,2026-08-19..2026-08-19,0.0,True,True,True,{'BYD Sealion 7': 19},2.0
data/output/by_vehicle_v2/BYD_Sealion_7/clean.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\BYD_Sealion_7\clean.csv,csv,1124534,2026-09-22T13:36:18,ok,1609,38,1609.0,25.0,1187.0,0.0,0.0,0.0,2026-08-19..2026-09-21,0.0,True,True,True,"{'BYD Sealion 7': 1608, 'XPeng G6': 1}",3.0
data/output/by_vehicle_v2/BYD_Sealion_7/raw.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\BYD_Sealion_7\raw.csv,csv,1124534,2026-09-22T13:36:18,ok,1609,38,1609.0,25.0,1187.0,0.0,0.0,0.0,2026-08-19..2026-09-21,0.0,True,True,True,"{'BYD Sealion 7': 1608, 'XPeng G6': 1}",3.0
data/output/by_vehicle_v2/BYD_Sealion_7/relevant.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\BYD_Sealion_7\relevant.csv,csv,19044,2026-09-22T13:36:18,ok,19,38,19.0,16.0,19.0,0.0,0.0,0.0,2026-08-19..2026-08-19,0.0,True,True,True,{'BYD Sealion 7': 19},2.0
data/output/by_vehicle_v2/Jaecoo_J5/analyzed.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Jaecoo_J5\analyzed.csv,csv,488,2026-09-22T13:36:18,metadata_or_empty,0,0,,,,,,,,,,,,,
data/output/by_vehicle_v2/Jaecoo_J5/clean.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Jaecoo_J5\clean.csv,csv,563220,2026-09-22T13:36:18,ok,779,38,779.0,13.0,443.0,0.0,0.0,0.0,2026-09-19..2026-09-21,0.0,True,True,True,{'Jaecoo J5': 779},4.0
data/output/by_vehicle_v2/Jaecoo_J5/raw.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Jaecoo_J5\raw.csv,csv,563220,2026-09-22T13:36:18,ok,779,38,779.0,13.0,443.0,0.0,0.0,0.0,2026-09-19..2026-09-21,0.0,True,True,True,{'Jaecoo J5': 779},4.0
data/output/by_vehicle_v2/Jaecoo_J5/relevant.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Jaecoo_J5\relevant.csv,csv,488,2026-09-22T13:36:18,metadata_or_empty,0,0,,,,,,,,,,,,,
data/output/by_vehicle_v2/Toyota_Veloz/analyzed.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Toyota_Veloz\analyzed.csv,csv,9640,2026-09-22T13:36:18,ok,10,38,10.0,9.0,9.0,0.0,0.0,0.0,2026-09-18..2026-09-18,0.0,True,True,True,{'Toyota Veloz': 10},1.0
data/output/by_vehicle_v2/Toyota_Veloz/clean.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Toyota_Veloz\clean.csv,csv,405088,2026-09-22T13:36:18,ok,601,38,601.0,13.0,575.0,0.0,0.0,0.0,2026-09-21..2026-09-21,0.0,True,True,True,"{'Toyota Veloz': 591, 'Toyota Zenix': 10}",2.0
data/output/by_vehicle_v2/Toyota_Veloz/raw.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Toyota_Veloz\raw.csv,csv,405088,2026-09-22T13:36:18,ok,601,38,601.0,13.0,575.0,0.0,0.0,0.0,2026-09-21..2026-09-21,0.0,True,True,True,"{'Toyota Veloz': 591, 'Toyota Zenix': 10}",2.0
data/output/by_vehicle_v2/Toyota_Veloz/relevant.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Toyota_Veloz\relevant.csv,csv,9640,2026-09-22T13:36:18,ok,10,38,10.0,9.0,9.0,0.0,0.0,0.0,2026-09-18..2026-09-18,0.0,True,True,True,{'Toyota Veloz': 10},1.0
data/output/by_vehicle_v2/Toyota_Yaris/analyzed.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Toyota_Yaris\analyzed.csv,csv,488,2026-09-22T13:36:18,metadata_or_empty,0,0,,,,,,,,,,,,,
data/output/by_vehicle_v2/Toyota_Yaris/clean.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Toyota_Yaris\clean.csv,csv,449118,2026-09-22T13:36:18,ok,675,38,675.0,14.0,640.0,0.0,0.0,0.0,2026-08-12..2026-09-21,0.0,True,True,True,{'Toyota Yaris': 675},2.0
