record_id,vehicle,community,community_url,post_id,comment_id,parent_id,source_type,author_id,author_pseudonym,date,text_raw,url,scraped_at,_origin,dedup_key,is_duplicate,text_clean,text_normalized,vehicle_v2,vehicle_confidence,vehicle_reason,candidate_adas,matched_keywords,layer_hit,feature_names_hit,generic_adas_only,adas_relevance,relevance_reason,relevance_confidence,feature,subfeature,driving_scenario,evidence_type,sentiment,smoothness,expectation_mismatch,feature_confidence
rec_9ba25a5402e604e1,BYD Sealion 7,BYD Sealion 7 Indonesia,https://www.facebook.com/groups/1739202836885108,2371496240322428,2371496240322428_comment_30,2371496240322428,comment,,,,Blind Spot Sensor,https://web.facebook.com/groups/1739202836885108/posts/2371496240322428/?comment_id=2371897630282289&__cft__[0]=AZgMaQ_Un8SJexW6KacXKWSlqaBoNvz1VzmRaX8fiaYoYwNZWVrS33eZBpocZfJDwuM4UpwYSvMXocJpoLmAIM3D_3IVnWXbNEkU3QgM-VNCDlsYoVmOajImSpoDcjy3kfWVemna-yUt-UUXi6t63vLyoyKNhHR4fBRYCLXpFTJn35JoT99wjNl4nUYo-m60&__tn__=R-R,2026-09-18T03:49:25Z,raw_data_run_20260918_104118_296cf9.csv,rec_9ba25a5402e604e1,False,Blind Spot Sensor,blind spot sensor,BYD Sealion 7,medium,community_context,True,Blind Spot;blind spot;blind spot sensor,"layer_a_feature_names,layer_b_functional",BSD,False,relevant,explicit_feature_name,high,UNKNOWN,not_stated,not_stated,uncertain,neutral,not_stated,unclear,high
rec_588ed68537742e70,BYD Sealion 7,BYD Sealion 7 Indonesia,https://www.facebook.com/groups/1739202836885108,2371496240322428,2371496240322428_comment_31,2371496240322428,comment,,,,Autonomous Emergency Braking,https://web.facebook.com/groups/1739202836885108/posts/2371496240322428/?comment_id=2371897630282289&__cft__[0]=AZgMaQ_Un8SJexW6KacXKWSlqaBoNvz1VzmRaX8fiaYoYwNZWVrS33eZBpocZfJDwuM4UpwYSvMXocJpoLmAIM3D_3IVnWXbNEkU3QgM-VNCDlsYoVmOajImSpoDcjy3kfWVemna-yUt-UUXi6t63vLyoyKNhHR4fBRYCLXpFTJn35JoT99wjNl4nUYo-m60&__tn__=R-R,2026-09-18T03:49:25Z,raw_data_run_20260918_104118_296cf9.csv,rec_588ed68537742e70,False,Autonomous Emergency Braking,autonomous emergency braking,BYD Sealion 7,medium,community_context,True,Autonomous Emergency Braking;Emergency Braking;braking;emergency braking,"layer_a_feature_names,layer_b_functional",AEB,False,relevant,explicit_feature_name,high,UNKNOWN,not_stated,not_stated,uncertain,neutral,not_stated,unclear,high
rec_3253ebe13252960d,BYD Sealion 7,BYD Sealion 7 Owner Community,https://web.facebook.com/groups/2978746848951034,post_2,post_2_comment_15,post_2,comment,,,,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,https://web.facebook.com/groups/2978746848951034,2026-09-18T03:52:21Z,raw_data_run_20260918_105055_c59316.csv,rec_3253ebe13252960d,False,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,thankfully that has never happened to me yet. if this keeps happening i would be turning off the automatic start option. get i… lihat selengkapnya,BYD Sealion 7,medium,community_context,True,turn,layer_b_functional,,False,relevant,functional_keywords_with_context,medium,PDA,PDA:curve_assistance,not_stated,uncertain,neutral,not_stated,unclear,medium
rec_b652ed7b330ec98a,BYD Sealion 7,BYD Sealion 7 Owner Community,https://web.facebook.com/groups/2978746848951034,post_3,post_3_comment_15,post_3,comment,,,,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,https://web.facebook.com/groups/2978746848951034,2026-09-18T03:52:48Z,raw_data_run_20260918_105055_c59316.csv,rec_b652ed7b330ec98a,False,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,thankfully that has never happened to me yet. if this keeps happening i would be turning off the automatic start option. get i… lihat selengkapnya,BYD Sealion 7,medium,community_context,True,turn,layer_b_functional,,False,relevant,functional_keywords_with_context,medium,PDA,PDA:curve_assistance,not_stated,uncertain,neutral,not_stated,unclear,medium
rec_05ddcb421cb3bc82,BYD Sealion 7,BYD Sealion 7 Owner Community,https://web.facebook.com/groups/2978746848951034,post_4,post_4_comment_15,post_4,comment,,,,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,https://web.facebook.com/groups/2978746848951034,2026-09-18T03:53:15Z,raw_data_run_20260918_105055_c59316.csv,rec_05ddcb421cb3bc82,False,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,thankfully that has never happened to me yet. if this keeps happening i would be turning off the automatic start option. get i… lihat selengkapnya,BYD Sealion 7,medium,community_context,True,turn,layer_b_functional,,False,relevant,functional_keywords_with_context,medium,PDA,PDA:curve_assistance,not_stated,uncertain,neutral,not_stated,unclear,medium
rec_a5301fc9fc8f0bbd,BYD Sealion 7,BYD Sealion 7 Owner Community,https://web.facebook.com/groups/2978746848951034,post_5,post_5_comment_15,post_5,comment,,,,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,https://web.facebook.com/groups/2978746848951034,2026-09-18T03:53:42Z,raw_data_run_20260918_105055_c59316.csv,rec_a5301fc9fc8f0bbd,False,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,thankfully that has never happened to me yet. if this keeps happening i would be turning off the automatic start option. get i… lihat selengkapnya,BYD Sealion 7,medium,community_context,True,turn,layer_b_functional,,False,relevant,functional_keywords_with_context,medium,PDA,PDA:curve_assistance,not_stated,uncertain,neutral,not_stated,unclear,medium
rec_ac509ebe49187459,BYD Sealion 7,BYD Sealion 7 Owner Community,https://web.facebook.com/groups/2978746848951034,post_6,post_6_comment_15,post_6,comment,,,,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,https://web.facebook.com/groups/2978746848951034,2026-09-18T03:54:10Z,raw_data_run_20260918_105055_c59316.csv,rec_ac509ebe49187459,False,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,thankfully that has never happened to me yet. if this keeps happening i would be turning off the automatic start option. get i… lihat selengkapnya,BYD Sealion 7,medium,community_context,True,turn,layer_b_functional,,False,relevant,functional_keywords_with_context,medium,PDA,PDA:curve_assistance,not_stated,uncertain,neutral,not_stated,unclear,medium
rec_ec9caeb687b865d2,BYD Sealion 7,BYD Sealion 7 Owner Community,https://web.facebook.com/groups/2978746848951034,post_7,post_7_comment_15,post_7,comment,,,,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,https://web.facebook.com/groups/2978746848951034,2026-09-18T03:54:36Z,raw_data_run_20260918_105055_c59316.csv,rec_ec9caeb687b865d2,False,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,thankfully that has never happened to me yet. if this keeps happening i would be turning off the automatic start option. get i… lihat selengkapnya,BYD Sealion 7,medium,community_context,True,turn,layer_b_functional,,False,relevant,functional_keywords_with_context,medium,PDA,PDA:curve_assistance,not_stated,uncertain,neutral,not_stated,unclear,medium
rec_ed1ca4fe1ee510ce,BYD Sealion 7,BYD Sealion 7 Owner Community,https://web.facebook.com/groups/2978746848951034,post_9,post_9_comment_15,post_9,comment,,,,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,https://web.facebook.com/groups/2978746848951034,2026-09-18T03:56:14Z,raw_data_run_20260918_105055_c59316.csv,rec_ed1ca4fe1ee510ce,False,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,thankfully that has never happened to me yet. if this keeps happening i would be turning off the automatic start option. get i… lihat selengkapnya,BYD Sealion 7,medium,community_context,True,turn,layer_b_functional,,False,relevant,functional_keywords_with_context,medium,PDA,PDA:curve_assistance,not_stated,uncertain,neutral,not_stated,unclear,medium
rec_b3c5aa8c567ff7ef,BYD Sealion 7,BYD Sealion 7 Owner Community,https://web.facebook.com/groups/2978746848951034,post_10,post_10_comment_15,post_10,comment,,,,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,https://web.facebook.com/groups/2978746848951034,2026-09-18T03:57:00Z,raw_data_run_20260918_105055_c59316.csv,rec_b3c5aa8c567ff7ef,False,Thankfully that has never happened to me yet. If this keeps happening I would be turning off the automatic start option. Get i… Lihat selengkapnya,thankfully that has never happened to me yet. if this keeps happening i would be turning off the automatic start option. get i… lihat selengkapnya,BYD Sealion 7,medium,community_context,True,turn,layer_b_functional,,False,relevant,functional_keywords_with_context,medium,PDA,PDA:curve_assistance,not_stated,uncertain,neutral,not_stated,unclear,medium
